Start_Date_Time,End_Date_Time,Title,Location,Team1_ID,other
3/6/17 17:00,3/6/17 18:30,4C Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",4C,B
3/6/17 17:00,3/6/17 18:30,6C Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",6C,B
3/6/17 18:30,3/6/17 20:00,4A Practice @ LNHS South Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",4A,B
3/6/17 18:30,3/6/17 20:00,4B Practice @ LNHS South Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",4B,B
3/6/17 18:30,3/6/17 20:00,8C Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",8C,B
3/6/17 18:30,3/6/17 20:00,8B Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",8B,B
3/7/17 17:00,3/7/17 18:30,6BR Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",6BR,B
3/7/17 17:00,3/7/17 18:30,6BW Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",6BW,B
3/7/17 18:30,3/7/17 20:00,8A Practice @ LNHS North Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",8A,B
3/7/17 18:30,3/7/17 20:00,7A Practice @ LNHS North Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",7A,B
3/7/17 18:30,3/7/17 20:00,7B Practice @ LNHS South Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",7B,B
3/7/17 18:30,3/7/17 20:00,7C Practice @ LNHS South Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",7C,B
3/7/17 18:30,3/7/17 20:00,5B Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",5B,B
3/7/17 18:30,3/7/17 20:00,5A Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",5A,B
3/7/17 20:00,3/7/17 21:30,5C Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",5C,B
3/7/17 20:00,3/7/17 21:30,6C Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",6C,B
3/9/17 17:00,3/9/17 18:30,5B Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",5B,B
3/9/17 17:00,3/9/17 18:30,5C Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",5C,B
3/9/17 18:15,3/9/17 19:45,4A Practice @ Eastview,"Eastview Elementary School, Ipava Avenue, Lakeville, MN, United States",4A,B
3/9/17 18:15,3/9/17 19:45,4C Practice @ Cherryview,"Cherry View Elementary School, 175th Street West, Lakeville, MN, United States",4C,G
3/9/17 18:30,3/9/17 20:00,7A Practice @ LNHS South Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",7A,G
3/9/17 18:30,3/9/17 20:00,8C Practice @ LNHS South Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",8C,G
3/9/17 18:30,3/9/17 20:00,6BR Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",6BR,G
3/9/17 18:30,3/9/17 20:00,6BW Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",6BW,G
3/9/17 19:45,3/9/17 21:00,4B Practice @ Eastview,"Eastview Elementary School, Ipava Avenue, Lakeville, MN, United States",4B,G
3/9/17 20:00,3/9/17 21:30,8A Practice @ LNHS South Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",8A,G
3/9/17 20:00,3/9/17 21:30,8B Practice @ LNHS South Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",8B,G
3/9/17 20:00,3/9/17 21:30,7B Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",7B,G
3/9/17 20:00,3/9/17 21:30,7C Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",7C,G
12/22/16 18:30,12/22/16 20:00,8b16 Practice @ LNHS North Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",8b16,G
12/22/16 18:30,12/22/16 20:00,4black Practice @ LNHS South Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",4black,G
12/22/16 18:30,12/22/16 20:00,4red Practice @ LNHS South Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",4red,G
12/22/16 20:00,12/22/16 21:30,6b16 Practice @ LNHS North Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",6b16,G
12/22/16 20:00,12/22/16 21:30,5c16 Practice @ LNHS North Gym,"Lakeville North High School, Ipava Avenue, Lakeville, MN, United States",5c16,G
12/22/16 20:00,12/22/16 21:30,5b16 Practice @ Kenwood,"Kenwood Trail Middle School, Kenwood Trail, Lakeville, MN, United States",5b16,G
